[     135ms] [WARNING] <meta name="apple-mobile-web-app-capable" content="yes"> is deprecated. Please include <meta name="mobile-web-app-capable" content="yes"> @ http://localhost:8766/:0
[ 2370173ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2371703ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2373235ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2375114ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2376732ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2510972ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2511976ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2512982ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2513988ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2515000ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2516014ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2517020ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2518043ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2519050ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2520074ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2521118ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2522143ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2523160ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
